1-t,2-t,label
-46.786743,-6.1456914,1944–1977
-89.829445,25.689627,1995–2023
-56.101162,17.940657,1978–1994
-5.040908,-5.2299533,1911–1943
29.824375,35.299343,1911–1943
10.115891,23.853094,1911–1943
-106.02479,27.829689,1995–2023
15.528649,-7.669291,1911–1943
-55.328026,-13.623459,1846–1910
11.077163,2.9180255,1911–1943
61.105072,-8.099354,1911–1943
-84.52017,-61.642982,1653–1705
6.8561916,62.272087,1944–1977
-86.60998,-54.95496,1846–1910
-3.21505,13.510054,1911–1943
92.62248,-6.899604,1911–1943
-53.065464,9.06218,1978–1994
66.537766,-53.81112,1911–1943
-89.41479,-16.83738,1978–1994
-75.675705,62.480095,1995–2023
-23.498793,66.255295,1944–1977
-50.55465,76.86861,1995–2023
-30.534353,-20.700716,1846–1910
-49.069244,-62.6414,pre-1652
-35.140053,54.12165,1995–2023
-58.460194,65.62573,1995–2023
34.413208,-58.965702,1846–1910
5.2768855,-56.032875,1846–1910
-24.468178,-33.723385,1846–1910
-9.38911,-76.18283,1846–1910
0.5130753,-6.2723165,1911–1943
-72.58269,-57.437126,pre-1652
-38.273537,-12.476212,1911–1943
-12.957633,-43.298832,1846–1910
-80.070625,-13.358816,1978–1994
57.31595,34.574467,1911–1943
-34.76095,-67.16758,1846–1910
-11.880378,-28.46139,1995–2023
-82.15681,-14.247895,1978–1994
-15.78826,-67.03548,1846–1910
-60.29971,55.283745,1995–2023
-52.556576,103.34443,1995–2023
-64.21346,87.001076,1995–2023
-45.879124,67.267654,1995–2023
-38.966454,-61.340202,1706–1764
10.241105,-4.7531643,1911–1943
105.51118,-9.641711,1911–1943
-14.456381,-2.3099182,1911–1943
48.883972,-68.16407,1911–1943
-8.9331255,106.53553,1944–1977
-49.756744,-37.029785,1995–2023
60.92754,6.204699,1911–1943
-73.317955,78.68173,1995–2023
-103.45758,-9.875739,1978–1994
-13.810788,87.15983,1944–1977
-61.2651,-44.8052,1706–1764
-64.146645,87.03917,1995–2023
-23.638025,-63.292877,1846–1910
-53.869614,-33.550842,1846–1910
43.43535,18.812515,1911–1943
-60.55397,-73.1991,1706–1764
57.928574,-11.850303,1911–1943
39.192703,4.373031,1911–1943
38.53338,74.943275,1995–2023
86.76221,-51.12333,1911–1943
37.71605,14.913263,1911–1943
-42.80626,93.88513,1995–2023
24.466442,-103.627495,1846–1910
15.666301,86.56621,1944–1977
-28.68375,87.82182,1995–2023
-79.69188,78.582146,1995–2023
36.54417,20.190443,1911–1943
-18.023598,42.089287,1944–1977
8.098213,57.594254,1944–1977
8.748002,-70.222,1846–1910
19.463793,-59.295208,1911–1943
53.298466,-18.64084,1911–1943
49.509216,-58.08783,1911–1943
6.3747754,52.504612,1944–1977
43.320004,-62.698383,1911–1943
88.64317,15.738015,1911–1943
-0.21648993,-62.006725,1846–1910
64.739,41.980938,1911–1943
14.382455,-67.20484,1846–1910
15.904873,76.520096,1944–1977
46.161728,30.286135,1911–1943
33.75443,-40.916054,1911–1943
24.76921,-6.2492,1995–2023
-25.54318,38.149815,1944–1977
30.445284,19.169641,1911–1943
14.3710785,-81.831184,1846–1910
-76.93239,57.527588,1995–2023
-62.08088,17.411955,1978–1994
-43.093803,-55.09059,1846–1910
0.122156605,47.943207,1944–1977
60.502148,-23.756985,1911–1943
-41.11694,84.43695,1995–2023
-45.171806,-17.242714,1911–1943
-17.42944,-68.924774,1846–1910
92.21574,-12.467851,1911–1943
-11.758134,44.018234,1944–1977
-31.689201,73.518936,1995–2023
5.722645,81.850685,1944–1977
-1.9045959,63.922432,1944–1977
63.067142,75.52707,1911–1943
-13.769007,85.38706,1944–1977
28.788568,64.343544,1944–1977
14.597127,16.072811,1944–1977
-1.274921,-9.884972,1911–1943
11.820903,1.7653219,1911–1943
-62.640224,-67.226395,1765–1845
-7.517297,-14.474394,1846–1910
-51.62175,-46.48675,1706–1764
-15.250569,-4.74105,1911–1943
-72.45926,85.24943,1995–2023
26.63359,-39.545757,1911–1943
84.196396,15.545489,1911–1943
-28.808144,51.989285,1944–1977
3.7205305,-67.2684,1846–1910
-85.122856,70.35123,1995–2023
-64.89953,-18.549074,1846–1910
-30.787077,-24.720303,1846–1910
78.73777,1.1677575,1911–1943
-47.187748,71.9988,1995–2023
101.75977,-26.239605,1911–1943
8.649472,-79.34468,1846–1910
67.68636,-24.67333,1911–1943
38.16591,-71.57889,1911–1943
-11.690872,66.253815,1944–1977
-34.297752,-26.265602,1978–1994
-41.10879,-23.574522,1978–1994
6.3427105,-53.523727,1846–1910
-64.15447,71.76493,1995–2023
87.46577,-23.88558,1911–1943
-65.7716,7.4380426,1978–1994
-44.60171,-44.676826,1765–1845
44.417725,11.174709,1911–1943
-18.041437,-91.90102,1846–1910
26.308918,42.407227,1911–1943
-72.163315,4.8700905,1978–1994
98.70472,-4.245598,1911–1943
65.148636,-11.867727,1911–1943
50.57411,-71.98541,1911–1943
35.025673,33.220463,1944–1977
3.7061677,-57.679882,1846–1910
62.68216,-9.259465,1911–1943
-60.886547,-30.697512,pre-1652
-102.20292,-11.218782,1978–1994
28.215296,-12.3645735,1944–1977
26.226849,-32.670376,1846–1910
-22.111303,-89.66359,1846–1910
-17.51948,50.924778,1944–1977
77.72549,62.106216,1911–1943
-15.399148,-8.208547,1846–1910
-68.106705,50.12653,1995–2023
-67.943375,47.162148,1995–2023
-51.22252,48.554436,1995–2023
-50.906845,44.410465,1911–1943
12.18319,-92.18438,1846–1910
82.19887,-10.451132,1911–1943
-59.242233,-34.663918,1706–1764
-53.021694,-0.24322504,1978–1994
-7.4203334,28.298618,1944–1977
-86.71103,-45.456608,1653–1705
31.285814,-54.69206,1846–1910
65.538506,40.1688,1911–1943
-49.72606,71.02047,1995–2023
-30.03813,-66.77419,1846–1910
20.314539,-48.593594,1911–1943
-25.033958,-16.19847,1911–1943
1.4020795,6.3265433,1911–1943
22.994835,56.942204,1944–1977
