1-t,2-t,label
-74.63864,-49.0525,revival
-78.22914,-55.115982,contemporary
-73.97314,-49.60064,late_19th-century_style
-64.802055,-63.411053,late_19th-century_style
-51.2514,-58.083904,contemporary
-67.1904,-61.332085,early_19th-century_style
-59.415394,-80.86924,early_19th-century_style
-67.227585,-50.742672,interwar
-83.01049,-60.805527,18th-century_style
-62.37769,-67.034035,late_19th-century_style
-47.666264,-13.523227,contemporary
-92.68495,-35.941723,contemporary
-54.786705,-3.8904812,late_19th-century_style
-61.678055,-31.752308,late_19th-century_style
-64.97103,-67.10895,early_19th-century_style
-76.68045,-66.26181,18th-century_style
-70.042595,-62.071262,late_19th-century_style
-91.22996,-30.60077,early_19th-century_style
-83.01915,-60.795937,18th-century_style
-91.77487,-31.446306,18th-century_style
-48.114376,-3.3895342,late_19th-century_style
-85.58911,-53.387756,18th-century_style
-63.7923,-59.480682,late_19th-century_style
-69.8888,-67.45949,contemporary
-57.00468,-70.98077,contemporary
-65.0254,-66.80237,18th-century_style
-66.16789,-78.00127,revival
-65.013374,-66.95585,18th-century_style
-64.26935,-66.210655,late_19th-century_style
-64.96304,-67.05444,early_19th-century_style
-21.528215,-75.16272,postwar
-92.11229,-30.015558,late_19th-century_style
-98.79091,-31.35158,revival
-46.948074,-13.690505,contemporary
-60.990658,-67.15811,postwar
-91.39848,-30.972973,early_19th-century_style
-82.78694,-58.37119,18th-century_style
-63.883507,-68.184586,early_19th-century_style
-85.81349,-59.90482,18th-century_style
-68.62178,-69.97192,early_19th-century_style
-72.78696,-77.8649,early_19th-century_style
-64.143524,-67.38097,late_19th-century_style
-64.143524,-67.38097,late_19th-century_style
-44.17109,-39.117764,late_19th-century_style
-26.263853,-48.460423,contemporary
-49.960762,-44.513435,late_19th-century_style
-84.021866,-58.946682,18th-century_style
-74.04151,-63.623264,18th-century_style
-77.37495,-61.08281,contemporary
-50.132668,-46.897923,contemporary
-54.001537,-57.812973,contemporary
-51.224487,-73.16371,early_19th-century_style
-54.002064,-57.813545,contemporary
-48.44379,-73.4382,early_19th-century_style
-67.872894,-65.354294,late_19th-century_style
-59.025032,-82.28145,early_19th-century_style
-53.99973,-57.79834,late_19th-century_style
-69.47889,-68.08043,18th-century_style
-61.81749,-47.814762,contemporary
-40.571533,-13.870086,late_19th-century_style
-84.98672,-44.804527,late_19th-century_style
-83.004005,-57.473522,18th-century_style
-83.0047,-57.472477,18th-century_style
-54.620518,-38.075813,early_19th-century_style
-52.38956,-52.92507,late_19th-century_style
-48.12241,-25.92426,early_19th-century_style
-83.477165,-63.292698,18th-century_style
-68.07751,-69.809265,late_19th-century_style
-44.171196,-39.119293,late_19th-century_style
-72.112076,-62.47486,contemporary
-55.788265,-53.52867,late_19th-century_style
-55.788826,-53.52769,late_19th-century_style
-55.150852,-54.964947,contemporary
-46.078663,-26.40666,early_19th-century_style
-64.5247,-69.49383,late_19th-century_style
-69.88862,-58.68585,early_19th-century_style
-48.116848,-12.842591,revival
-52.661095,-59.45054,contemporary
-55.81676,-71.27498,interwar
-76.667946,-60.604557,contemporary
-83.0532,-52.29582,18th-century_style
-82.797295,-58.324497,18th-century_style
-82.79084,-58.371513,18th-century_style
-52.32814,-51.068317,contemporary
-67.42714,-81.26826,early_19th-century_style
-75.4305,-61.508987,contemporary
-77.68666,-65.34028,contemporary
-60.478897,-66.47698,late_19th-century_style
-83.951294,-33.30565,late_19th-century_style
-69.09808,-66.3035,late_19th-century_style
-63.569744,-51.4536,late_19th-century_style
-63.165867,-58.259495,early_19th-century_style
-45.39967,-12.53519,contemporary
-45.39967,-12.53519,contemporary
-41.069874,-14.296283,late_19th-century_style
-63.53779,-51.441147,late_19th-century_style
-41.131905,-14.34953,contemporary
-80.44129,-60.65661,contemporary
-40.530163,-41.26402,late_19th-century_style
-59.279728,-54.91187,contemporary
-58.522903,-71.348816,contemporary
-58.522903,-71.348816,contemporary
-56.100346,-57.636192,late_19th-century_style
-86.994835,-52.22652,18th-century_style
-52.67685,-11.007823,revival
-53.43794,-49.357998,contemporary
-27.166409,-25.897587,early_19th-century_style
-83.89308,-59.693764,18th-century_style
-61.01962,-76.22195,contemporary
-61.47246,-73.98175,early_19th-century_style
-71.07117,-66.21412,18th-century_style
-84.06677,-59.579124,18th-century_style
-69.28044,-79.25872,contemporary
-78.75295,-33.23835,late_19th-century_style
-74.29029,-41.868225,late_19th-century_style
-74.29735,-41.87211,contemporary
-60.821953,-75.73726,contemporary
-81.75746,-62.9529,18th-century_style
-81.75746,-62.9529,18th-century_style
-54.533638,-78.76692,early_19th-century_style
-69.12624,-50.191006,18th-century_style
-40.90684,-15.054819,contemporary
-62.536453,-71.01112,early_19th-century_style
-55.93835,-58.4135,contemporary
-93.18301,-34.386524,late_19th-century_style
-93.1881,-34.389492,late_19th-century_style
-61.008057,-76.26706,early_19th-century_style
-81.905205,-47.58924,18th-century_style
-92.05346,-29.928614,late_19th-century_style
-54.32835,-10.354459,late_19th-century_style
-68.30081,-37.761013,late_19th-century_style
-54.327526,-10.353292,late_19th-century_style
-46.244305,-74.20759,early_19th-century_style
-94.50781,-18.040478,late_19th-century_style
-77.74877,-68.983925,18th-century_style
-64.95613,-64.642624,early_19th-century_style
-64.94899,-64.60864,early_19th-century_style
-83.96513,-61.720303,18th-century_style
-83.96513,-61.720303,18th-century_style
-34.491558,-27.186512,late_19th-century_style
-87.13562,-61.684883,18th-century_style
-52.35946,-61.311165,contemporary
-96.2535,-27.645733,late_19th-century_style
-69.12763,-50.036457,18th-century_style
-50.026585,-14.730785,18th-century_style
-69.98315,-47.74191,late_19th-century_style
-69.983246,-47.742344,late_19th-century_style
-57.267406,-46.73909,late_19th-century_style
-86.471596,-38.15087,18th-century_style
-57.207157,-38.095005,early_19th-century_style
-57.207157,-38.095005,early_19th-century_style
-54.70764,-27.834473,late_19th-century_style
-66.34233,-69.310684,early_19th-century_style
-85.332825,-63.359425,18th-century_style
-94.374466,-28.447332,late_19th-century_style
-92.978874,-28.701756,late_19th-century_style
-92.45439,-31.30219,late_19th-century_style
-29.400505,-50.129517,early_19th-century_style
-81.4703,-63.627716,18th-century_style
-29.400084,-50.13106,early_19th-century_style
-90.78141,-51.87031,18th-century_style
-61.56481,-69.08551,late_19th-century_style
-73.25367,-66.85047,18th-century_style
-62.781414,-76.33294,early_19th-century_style
-61.56481,-69.08551,late_19th-century_style
-73.08724,-50.535873,18th-century_style
-46.207104,-12.5790615,contemporary
-83.70928,-44.62408,18th-century_style
-57.534325,-6.6149735,contemporary
-97.41118,-25.021137,late_19th-century_style
-48.125122,-12.776989,contemporary
-95.20378,-35.33274,early_19th-century_style
-95.20181,-35.331318,early_19th-century_style
-57.562553,-6.56809,late_19th-century_style
-48.128708,-12.7852745,contemporary
-74.705055,-56.269466,18th-century_style
-57.77282,-60.359093,early_19th-century_style
-46.220387,-12.5802965,contemporary
-69.3014,-63.32843,18th-century_style
-68.6719,-62.82259,contemporary
-65.58145,-26.012543,late_19th-century_style
-64.12345,-73.54313,early_19th-century_style
-46.218452,-12.580163,contemporary
-80.80438,-48.325714,18th-century_style
-78.179955,-75.58165,18th-century_style
-55.75629,-68.08811,early_19th-century_style
-55.76392,-68.08293,early_19th-century_style
-71.10554,-37.69756,late_19th-century_style
-80.80438,-48.325714,18th-century_style
-78.17869,-75.57997,18th-century_style
-51.10527,-10.449242,18th-century_style
