identificatie,bouwjaar,url,date
363100012061225,1923,"https://www.google.com/maps/@52.41519816572706,4.883164631576931,3a,80y,37.02241545304695h,96t/data=!3m6!1e1!3m4!1sP9PNGh3uNmvr0_TQZLtnow!2e0!7i16384!8i8192",2019-06
363100012061228,2004,"https://www.google.com/maps/@52.35513228204291,4.992971208322429,3a,80y,219.2551037501208h,96t/data=!3m6!1e1!3m4!1sa8USRXjhCtTGXrjwHS5HJA!2e0!7i16384!8i8192",2021-03
363100012062224,1916,"https://www.google.com/maps/@52.36421547998328,4.939509168813614,3a,80y,87.92662804547378h,96t/data=!3m6!1e1!3m4!1s7OXG-CPuPgz-tUYDGza9MA!2e0!7i16384!8i8192",2021-08
363100012063200,1965,"https://www.google.com/maps/@52.32414146040383,4.878458775595634,3a,80y,356.7033730785431h,96t/data=!3m6!1e1!3m4!1sP0lYya4RuRJ-4h_XlWE53Q!2e0!7i16384!8i8192",2022-10
363100012062226,2000,"https://www.google.com/maps/@52.4129713184136,4.82444623654627,3a,80y,70.8476571253968h,96t/data=!3m6!1e1!3m4!1splsEaKZh1y2rCQc2g1ptvQ!2e0!7i16384!8i8192",2022-08
363100012061237,1969,"https://www.google.com/maps/@52.33179259824357,4.858569621747666,3a,80y,88.9227772430645h,96t/data=!3m6!1e1!3m4!1szqCruO18SqUhTPtFHo93CQ!2e0!7i16384!8i8192",2020-06
363100012061732,1961,"https://www.google.com/maps/@52.34464650824708,4.884053955371142,3a,80y,9.177509568867931h,96t/data=!3m6!1e1!3m4!1sNTKiCDDmoaFp9ZggnZwhGQ!2e0!7i16384!8i8192",2018-06
363100012062745,1911,"https://www.google.com/maps/@52.35294091321974,4.863843867121097,3a,80y,334.9601121312557h,96t/data=!3m6!1e1!3m4!1s7IJNc9v_3OkXiPa_k1LLKw!2e0!7i16384!8i8192",2020-09
363100012062271,1930,"https://www.google.com/maps/@52.34559525252915,4.878595400665936,3a,80y,138.66333074429775h,96t/data=!3m6!1e1!3m4!1sBiXvsbZRj73Vt9ANrFpzOQ!2e0!7i16384!8i8192",2020-07
363100012062757,1962,"https://www.google.com/maps/@52.3238713337719,4.860697695712461,3a,80y,268.2756211776313h,96t/data=!3m6!1e1!3m4!1se_TLLUlGn21WZCKkPg3Bkw!2e0!7i16384!8i8192",2014-06
